station_name,station_lat,station_lon,nearest_river,nearby_pub_count
Bognor Regis,50.7876895,-0.6757482,Aldingbourne Rife,36
Saltash,50.4072015,-4.2091547,River Tamar,36
Stonehouse,51.7459341,-2.2794209,River Frome,36
Yeovil Junction,50.9248143,-2.6122447,River Yeo,36
Caldecotte Miniature Railway,52.0106337,-0.7084561,River Ouzel,36
Maesteg (Ewenny Road),51.6052667,-3.6482526,River Llynfi,36
Merthyr Tydfil,51.7444793,-3.3773565,River Taff,34
Ash Vale,51.2725337,-0.7214571,River Blackwater,34
Crosskeys,51.6207575,-3.1258367,Ebbw River,34
Yeovil Pen Mill,50.9446866,-2.61304,River Yeo,34
Worle,51.3578502,-2.9093225,Blind Yeo Rhyne,34
Stroud,51.7445273,-2.2192353,River Frome,34
Penally,51.6589419,-4.7219994,River Ritec,34
Lelant Saltings,50.1785858,-5.441159,Nance Stream,34
Frome,51.2274459,-2.3099995,River Frome,34
Lelant,50.1839692,-5.4365104,River Hayle,34
Hanborough,51.8247081,-1.3726319,River Evenlode,34
Oatlands,51.1843885,-0.7739411,River Wey,32
Mills Wood,51.1838357,-0.7720564,River Wey,32
Trehafod,51.6100466,-3.3806119,Afon Rhondda,32
Pontyclun,51.5238395,-3.3920553,River Ely,32
Maidenhead,51.5183532,-0.722846,The Cut,32
Brithdir,51.7102669,-3.2282991,Rhymney River,32
Farncombe,51.1971446,-0.6043738,River Wey,32
Lympstone Commando,50.6625937,-3.4409796,River Clyst,32
Winnersh Triangle,51.4367674,-0.8918298,River Loddon,32
Kiln Halt,50.8854559,-1.2899192,River Hamble,30
Pokesdown,50.7311874,-1.8267335,River Stour,30
Abergwili Junction,51.8686673,-4.2807205,Afon Gwili,30
Crediton,50.7833186,-3.6467418,River Yeo,30
Caerphilly,51.5715441,-3.2188217,Nant yr Aber,30
Sandhurst,51.3465435,-0.8038071,River Blackwater,30
Old Kiln Halt,51.1836582,-0.7746116,River Wey,30
Piccadilly,50.8672955,-1.3407083,Cadland Creek,30
Pant,51.77786,-3.3644454,Taf Fechan,30
Winchester,51.0672545,-1.3200089,Swift's Lake,30
Trowbridge,51.3200055,-2.2143313,River Biss,30
Carmarthen,51.8533058,-4.3057649,River Towy,30
Bursledon,50.8835729,-1.305111,River Hamble,30
Woodside Halt,50.8842986,-1.2888881,River Hamble,30
Reeds Road,51.1822944,-0.77289,River Wey,30
Furze Platt,51.5331544,-0.7284148,Moor Cut,30
Wargrave,51.4985546,-0.8766558,Loddon,30
Henley-on-Thames,51.5338451,-0.899422,River Thames,30
Chapel Road Station,50.8672425,-1.3409694,Cadland Creek,30
Cookham,51.5573685,-0.7222499,Strande Water,28
Dunster,51.1931186,-3.4384228,River Avill,28
Llanbradach,51.6041104,-3.2330809,Rhymney River,28
Marsh Mills,50.3949594,-4.0824299,River Plym,28
Taplow,51.5233325,-0.6818864,Jubilee River,28
Weymouth Bay Miniature Railway,50.6258855,-2.4455866,River Wey,28
Hamble,50.8712423,-1.3289942,River Hamble,28
Bourne Again Junction,51.5679824,-0.907229,River Thames,28
Fenny Stratford,51.9999805,-0.7179834,River Ouzel,28
Sherborne,50.943979,-2.5129696,River Yeo,28
Bletchley,51.9954534,-0.7363,River Ouzel,28
Shiplake,51.5111653,-0.8824136,River Thames,28
Appleford,51.6394882,-1.2424741,River Thames,28
Somersham,51.5668569,-0.9114962,River Thames,28
